stock,name,prod_text
071970,HD현대마린엔진,"조선기자재, 기계부품"
011700,한신기계공업,기계공구
012210,삼미금속,자동차부품
012210,삼미금속,중장비부품
012210,삼미금속,방산부품
012210,삼미금속,기타
012210,삼미금속,상 품
012210,삼미금속,기 타 주)
014940,오리엔탈정공,기계품
014940,오리엔탈정공,기계품
014940,오리엔탈정공,구조물
014940,오리엔탈정공,구조물
017960,한국카본,카본시트
023160,태광,"점포임대, 전시기획"
023160,태광,2차 전지 생산설비부품
054180,메디콕스,XML/SGML 관련 제품 및 솔루션
073010,케이에스피,"스크랩, 고철등 판매外"
073010,케이에스피,링기어外
073010,케이에스피,디스크外
073010,케이에스피,"스크랩, 고철등 판매外"
073010,케이에스피,스크랩상품外
085310,엔케이,기타
085310,엔케이,산업용고압용기
085310,엔케이,특수기기장비
085310,엔케이,-
092460,한라IMS,친환경시스템(Eco)
092460,한라IMS,고성능기계시스템(Machinery)
101000,KS인더스트리,기자재 판매 및 수리
101000,KS인더스트리,화장품 제조 및 판매 외
101930,인화정공,금속성형기계 사업
101930,인화정공,금속성형기계 사업
101930,인화정공,금속성형기계 사업
101930,인화정공,내부거래
217590,티엠씨,선박선 사업부문
217590,티엠씨,광 사업부문
217590,티엠씨,기타
133820,화인베스틸,공사 수익
133820,화인베스틸,철 스크랩 등
133820,화인베스틸,소프트웨어
